state,sports_teams
California,18
Texas,10
Florida,9
New York,8
Pennsylvania,8
Ohio,7
Illinois,6
Missouri,5
Massachusetts,5
Colorado,5
Arizona,4
Michigan,4
Minnesota,4
New Jersey,4
DC,4
Georgia,3
Maryland,3
North Carolina,3
Tennessee,3
Wisconsin,3
Washington,3
Indiana,2
Louisiana,2
Oregon,2
Utah,2
Oklahoma,1
Kansas,1
Maine,0
New Hampshire,0
Vermont,0
Rhode Island,0
Connecticut,0
Virginia,0
West Virginia,0
Kentucky,0
South Carolina,0
Alabama,0
Mississippi,0
Arkansas,0
Iowa,0
North Dakota,0
South Dakota,0
Nebraska,0
Montana,0
Wyoming,0
Idaho,0
New Mexico,0
Nevada,0
Alaska,0
Hawaii,0
,
,
